Approach	PrunedMSM	PrunedMSM_DA	PMSMSearch with LB_Sorted	PMSMSearch with LB_Sorted2	DTW	PMSMSearch with Sakoe 1	PMSMSearch with Sakoe 5	PMSMSearch with Sakoe 10	PMSMSearch with Sakoe 20	PMSMSearch with Sakoe 50	PMSMSearch with LBKIm 5	PMSMSearch with LBKIm 10	PMSMSearch with LBKIm 20	PMSMSearch with LBKIm 50	PMSMSearch with LBSakoeTree5	PMSMSearch with LBSakoeTree10	PMSMSearch with LBSakoeTree20	PMSMSearch with LBSakoeTree50	PMSMSearch with Itakura 0.95	PMSMSearch with Itakura 0.9	PMSMSearch with Itakura 0.8	PMSMSearch with Itakura 0.5	PMSMSearch with LB_EDCost	PMSMSearch with LB_EDCost2	PMSMSearch with LB_EDCost3
Adiac	0.626598	0.626598	0.626598	0.626598	0.6036	0.608696	0.624041	0.626598	0.626598	0.626598	0.626598	0.626598	0.626598	0.626598	0.626598	0.626598	0.626598	0.626598	0.398977	0.368286	0.460358	0.639386	0.590793	0.588235	0.626598
ArrowHead	0.777143	0.777143	0.777143	0.777143	0.7029	0.771429	0.800000	0.794286	0.777143	0.777143	0.777143	0.777143	0.777143	0.777143	0.777143	0.777143	0.777143	0.777143	0.771429	0.737143	0.800000	0.777143	0.771429	0.760000	0.782857
Beef	0.600000	0.600000	0.600000	0.600000	0.6333	0.600000	0.600000	0.600000	0.600000	0.600000	0.600000	0.600000	0.600000	0.600000	0.600000	0.600000	0.600000	0.600000	0.600000	0.600000	0.666667	0.633333	0.533333	0.600000	0.600000
BeetleFly	0.700000	0.700000	0.700000	0.700000	0.7	0.600000	0.750000	0.700000	0.700000	0.700000	0.700000	0.700000	0.700000	0.700000	0.700000	0.700000	0.700000	0.700000	0.650000	0.700000	0.750000	0.650000	0.500000	0.700000	0.650000
BirdChicken	0.850000	0.850000	0.850000	0.850000	0.75	0.600000	0.900000	0.850000	0.850000	0.850000	0.850000	0.850000	0.850000	0.850000	0.850000	0.850000	0.850000	0.850000	0.700000	0.800000	0.850000	0.900000	0.650000	0.850000	0.850000
Car	0.850000	0.850000	0.850000	0.850000	0.7333	0.800000	0.866667	0.850000	0.850000	0.850000	0.850000	0.850000	0.850000	0.850000	0.850000	0.850000	0.850000	0.850000	0.783333	0.800000	0.833333	0.866667	0.716667	0.683333	0.866667
CBF	0.993333	0.993333	0.993333	0.993333	0.9967	0.880000	0.982222	0.992222	0.993333	0.993333	0.993333	0.993333	0.993333	0.993333	0.993333	0.993333	0.993333	0.993333	0.875556	0.963333	0.980000	0.992222	0.993333	0.993333	0.993333
ChlorineConcentration	0.627344	0.627344	0.627344	0.627344	0.6484	0.627344	0.627344	0.627344	0.627344	0.627344	0.627344	0.627344	0.627344	0.627344	0.627344	0.627344	0.627344	0.627344	0.636198	0.352604	0.628646	0.627083	0.627344	0.627344	0.627344
CinCECGTorso	0.836957	0.836957	0.836957	0.836957	0.6507	0.851449	0.846377	0.834783	0.836957	0.836957	0.836957	0.836957	0.836957	0.836957	0.836957	0.836957	0.836957	0.836957	0.857971	0.857971	0.834783	0.834783	0.844928	0.836957	0.836957
Coffee	0.928571	0.928571	0.928571	0.928571	1	0.928571	0.928571	0.928571	0.928571	0.928571	0.928571	0.928571	0.928571	0.928571	0.928571	0.928571	0.928571	0.928571	0.928571	0.964286	0.964286	0.928571	0.928571	0.928571	0.928571
